Date,Values
2024-05-28,
2024-05-29,
2024-05-30,
2024-05-31,
2024-06-03,
2024-06-04,
2024-06-05,
2024-06-06,
2024-06-07,
2024-06-10,
2024-06-11,
2024-06-12,
2024-06-13,
2024-06-14,
2024-06-17,
2024-06-18,
2024-06-20,
2024-06-21,
2024-06-24,
2024-06-25,
2024-06-26,
2024-06-27,
2024-06-28,
2024-07-01,
2024-07-02,
2024-07-03,
2024-07-05,
2024-07-08,
2024-07-09,
2024-07-10,
2024-07-11,
2024-07-12,
2024-07-15,
2024-07-16,
2024-07-17,
2024-07-18,
2024-07-19,
2024-07-22,
2024-07-23,
2024-07-24,
2024-07-25,
2024-07-26,
2024-07-29,
2024-07-30,
2024-07-31,
2024-08-01,
2024-08-02,
2024-08-05,
2024-08-06,
2024-08-07,120.36444000244141
2024-08-08,120.18582000732422
2024-08-09,119.98432006835938
2024-08-12,119.9547200012207
2024-08-13,120.0848599243164
2024-08-14,120.1464599609375
2024-08-15,120.27492004394531
2024-08-16,120.31772003173828
2024-08-19,120.49776000976563
2024-08-20,120.625
2024-08-21,120.75919998168945
2024-08-22,120.81579986572265
2024-08-23,120.89919982910156
2024-08-26,120.83619979858399
2024-08-27,120.76459976196288
2024-08-28,120.65719985961914
2024-08-29,120.29739974975585
2024-08-30,120.06919982910156
2024-09-03,119.69779983520507
2024-09-04,119.4597998046875
2024-09-05,119.08219985961914
2024-09-06,118.61079986572265
2024-09-09,118.26039993286133
2024-09-10,117.9515998840332
2024-09-11,117.80379989624024
2024-09-12,117.7331999206543
2024-09-13,117.54959991455078
2024-09-16,117.36859985351562
2024-09-17,117.11639984130859
2024-09-18,116.75619979858398
2024-09-19,116.41539978027343
2024-09-20,116.18739974975585
2024-09-23,115.92779968261719
2024-09-24,115.7763996887207
2024-09-25,115.71939971923828
2024-09-26,115.84039978027344
2024-09-27,115.8465998840332
2024-09-30,115.91679992675782
2024-10-01,115.78599990844727
2024-10-02,115.71119995117188
2024-10-03,115.88319992065429
2024-10-04,116.13599990844726
2024-10-07,116.42919998168945
2024-10-08,116.8552000427246
2024-10-09,117.43359985351563
2024-10-10,117.78939987182618
2024-10-11,118.30119995117188
2024-10-14,118.91720016479492
2024-10-15,119.5402003479004
2024-10-16,120.16960037231445
2024-10-17,120.9300001525879
2024-10-18,121.59060012817383
2024-10-21,122.36980026245118
2024-10-22,123.06120025634766
2024-10-23,123.52960021972656
2024-10-24,123.97620025634765
2024-10-25,124.34980010986328
2024-10-28,124.6686001586914
2024-10-29,124.89360015869141
2024-10-30,125.13540008544922
2024-10-31,125.22059997558594
2024-11-01,125.45379989624024
2024-11-04,125.58740005493163
2024-11-05,125.85640014648438
2024-11-06,126.20260009765624
2024-11-07,126.66800018310546
2024-11-08,127.2688003540039
2024-11-11,127.78660018920898
2024-11-12,128.59240005493163
2024-11-13,129.3936001586914
2024-11-14,130.18460006713866
2024-11-15,130.96759994506837
2024-11-18,131.64119979858398
2024-11-19,132.41939971923827
2024-11-20,132.99899963378905
2024-11-21,133.549599609375
2024-11-22,134.00659957885742
2024-11-25,134.3913996887207
2024-11-26,134.8179997253418
2024-11-27,135.25739959716796
